Comment,Designator,Footprint,LCSC,Quantity
SMAJ5.0A,"D3,D4,D5",D_SMA,C113952,3
100n,"C2,C3,C4,C5",C_0603_1608Metric,C14663,4
SMBJ14A,D2,D_SMB,C152106,1
10k,R1,R_0805_2012Metric,C17414,1
1k,"R4,R5,R6",R_0805_2012Metric,C17513,3
22k,"R10,R11,R12",R_0805_2012Metric,C17560,3
330,"R16,R2,R3",R_0805_2012Metric,C17630,3
4k7,"R7,R8,R9",R_0805_2012Metric,C17673,3
1u,"C6,C7,C8",C_1206_3216Metric,C1848,3
D_Schottky,D1,D_SMA,C22452,1
39k,"R13,R14,R15",R_0805_2012Metric,C25826,3
Polyfuse,F1,SLB-Fuse_1812_4532Metric,C2843993,1
SW_DPDT_x2,SW1,SW_CK_JS202011CQN_DPDT_Straight,C431542,1
100u,C1,CP_Elec_6.3x5.7,C493460,1
Conn_01x04_Pin,J1,SLB-Mini_DCDC,C5116483,1
WS2815,"U1,U10,U100,U11,U12,U13,U14,U15,U16,U17,U18,U19,U2,U20,U21,U22,U23,U24,U25,U26,U27,U28,U29,U3,U30,U31,U32,U33,U34,U35,U36,U37,U38,U39,U4,U40,U41,U42,U43,U44,U45,U46,U47,U48,U49,U5,U50,U51,U52,U53,U54,U55,U56,U57,U58,U59,U6,U60,U61,U62,U63,U64,U65,U66,U67,U68,U69,U7,U70,U71,U72,U73,U74,U75,U76,U77,U78,U79,U8,U80,U81,U82,U83,U84,U85,U86,U87,U88,U89,U9,U90,U91,U92,U93,U94,U95,U96,U97,U98,U99",LED-TRICOLOR-5050,C5446699,100
Conn_02x04_Counter_Clockwise,J2,DIP-8_W7.62mm_Socket,C72129,1
