Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100u,CP_Elec_6.3x5.7,150.5,-50.0,90.0,top
C2,100n,C_0603_1608Metric,152.0,-67.0,0.0,top
C3,100n,C_0603_1608Metric,132.0,-84.0,-90.0,top
C4,100n,C_0603_1608Metric,142.0,-84.0,-90.0,top
C5,100n,C_0603_1608Metric,152.0,-84.0,-90.0,top
C6,1u,C_1206_3216Metric,118.0,-48.0,90.0,top
C7,1u,C_1206_3216Metric,172.0,-48.0,90.0,top
C8,1u,C_1206_3216Metric,145.0,-100.0,0.0,top
D1,D_Schottky,D_SMA,140.5,-50.0,90.0,top
D2,SMBJ14A,D_SMB,144.5,-50.0,90.0,top
D3,SMAJ5.0A,D_SMA,137.0,-86.0,-90.0,top
D4,SMAJ5.0A,D_SMA,147.0,-86.0,-90.0,top
D5,SMAJ5.0A,D_SMA,157.0,-86.0,-90.0,top
F1,Polyfuse,SLB-Fuse_1812_4532Metric,136.75,-50.0,90.0,top
J2,Conn_02x04_Counter_Clockwise,DIP-8_W7.62mm_Socket,145.0,-71.0,270.0,top
JP1,Jumper_3_Open,PinHeader_1x03_P2.54mm_Vertical,133.0,-91.04,90.0,top
JP2,Jumper_3_Open,PinHeader_1x03_P2.54mm_Vertical,143.0,-91.0,90.0,top
JP3,Jumper_3_Open,PinHeader_1x03_P2.54mm_Vertical,153.0,-91.0,90.0,top
JP4,Jumper_3_Open,PinHeader_1x03_P2.54mm_Vertical,130.25,-47.75,180.0,top
R1,10k,R_0805_2012Metric,138.5,-66.5,-90.0,top
R10,22k,R_0805_2012Metric,133.0,-81.0,0.0,top
R11,22k,R_0805_2012Metric,143.0,-81.0,0.0,top
R12,22k,R_0805_2012Metric,153.0,-81.0,0.0,top
R13,39k,R_0805_2012Metric,133.0,-79.0,0.0,top
R14,39k,R_0805_2012Metric,143.0,-79.0,0.0,top
R15,39k,R_0805_2012Metric,153.0,-79.0,0.0,top
R16,330,R_0805_2012Metric,94.0,-100.0,180.0,top
R2,330,R_0805_2012Metric,137.0,-71.5,180.0,top
R3,330,R_0805_2012Metric,153.0,-69.0,0.0,top
R4,1k,R_0805_2012Metric,137.0,-81.0,180.0,top
R5,1k,R_0805_2012Metric,147.0,-81.0,180.0,top
R6,1k,R_0805_2012Metric,157.0,-81.0,180.0,top
R7,4k7,R_0805_2012Metric,134.0,-84.0,-90.0,top
R8,4k7,R_0805_2012Metric,144.0,-84.0,-90.0,top
R9,4k7,R_0805_2012Metric,154.0,-84.0,-90.0,top
SW1,SW_DPDT_x2,SW_CK_JS202011CQN_DPDT_Straight,159.0,-48.85,180.0,top
U1,WS2815,LED-TRICOLOR-5050,100.0,-70.0,180.0,top
U10,WS2815,LED-TRICOLOR-5050,86.793113,-62.375,240.0,top
U100,WS2815,LED-TRICOLOR-5050,194.5,-104.0,0.0,top
U11,WS2815,LED-TRICOLOR-5050,84.75,-70.0,270.0,top
U12,WS2815,LED-TRICOLOR-5050,86.793113,-77.625,300.0,top
U13,WS2815,LED-TRICOLOR-5050,92.375,-83.206887,330.0,top
U14,WS2815,LED-TRICOLOR-5050,100.0,-85.25,0.0,top
U15,WS2815,LED-TRICOLOR-5050,107.625,-83.206887,30.0,top
U16,WS2815,LED-TRICOLOR-5050,113.206887,-77.625,60.0,top
U17,WS2815,LED-TRICOLOR-5050,115.25,-70.0,90.0,top
U18,WS2815,LED-TRICOLOR-5050,113.206887,-62.375,120.0,top
U19,WS2815,LED-TRICOLOR-5050,107.625,-56.793113,150.0,top
U2,WS2815,LED-TRICOLOR-5050,100.0,-61.75,180.0,top
U20,WS2815,LED-TRICOLOR-5050,100.0,-48.0,180.0,top
U21,WS2815,LED-TRICOLOR-5050,91.580964,-49.67465,202.5,top
U22,WS2815,LED-TRICOLOR-5050,84.443651,-54.443651,225.0,top
U23,WS2815,LED-TRICOLOR-5050,79.67465,-61.580964,247.5,top
U24,WS2815,LED-TRICOLOR-5050,78.0,-70.0,270.0,top
U25,WS2815,LED-TRICOLOR-5050,79.67465,-78.419036,292.5,top
U26,WS2815,LED-TRICOLOR-5050,84.443651,-85.556349,315.0,top
U27,WS2815,LED-TRICOLOR-5050,91.580964,-90.32535,337.5,top
U28,WS2815,LED-TRICOLOR-5050,100.0,-92.0,0.0,top
U29,WS2815,LED-TRICOLOR-5050,108.419036,-90.32535,22.5,top
U3,WS2815,LED-TRICOLOR-5050,92.85529,-65.875,240.0,top
U30,WS2815,LED-TRICOLOR-5050,115.556349,-85.556349,45.0,top
U31,WS2815,LED-TRICOLOR-5050,120.32535,-78.419036,67.5,top
U32,WS2815,LED-TRICOLOR-5050,122.0,-70.0,90.0,top
U33,WS2815,LED-TRICOLOR-5050,120.32535,-61.580964,112.5,top
U34,WS2815,LED-TRICOLOR-5050,115.556349,-54.443651,135.0,top
U35,WS2815,LED-TRICOLOR-5050,108.419036,-49.67465,157.5,top
U36,WS2815,LED-TRICOLOR-5050,76.740761,-53.101174,234.0,top
U37,WS2815,LED-TRICOLOR-5050,72.657125,-61.115761,252.0,top
U38,WS2815,LED-TRICOLOR-5050,71.25,-70.0,270.0,top
U39,WS2815,LED-TRICOLOR-5050,72.657125,-78.884239,288.0,top
U4,WS2815,LED-TRICOLOR-5050,92.85529,-74.125,300.0,top
U40,WS2815,LED-TRICOLOR-5050,76.740761,-86.898826,306.0,top
U41,WS2815,LED-TRICOLOR-5050,123.259239,-86.898826,54.0,top
U42,WS2815,LED-TRICOLOR-5050,127.342875,-78.884239,72.0,top
U43,WS2815,LED-TRICOLOR-5050,128.75,-70.0,90.0,top
U44,WS2815,LED-TRICOLOR-5050,127.342875,-61.115761,108.0,top
U45,WS2815,LED-TRICOLOR-5050,123.259239,-53.101174,126.0,top
U46,WS2815,LED-TRICOLOR-5050,190.0,-70.0,0.0,top
